📡  更新日期,#genre#
2025-03-28,http://nctv.top/IDOEPpiryt/huya.php?id=11342412
📡  央视频道,#genre#

CCTV4-美洲,http://www.erbao1981.top:8188/udp/239.76.246.96:1234


CCTV第一剧场,rtsp://115.153.230.145/PLTV/88888888/224/3221226961/86128891.smil
CCTV风云剧场,rtsp://115.153.230.145/PLTV/88888888/224/3221226963/86128874.smil
CCTV怀旧剧场,rtsp://115.153.230.145/PLTV/88888888/224/3221226996/86128881.smil
CCTV风云足球,rtsp://115.153.230.145/PLTV/88888888/224/3221227000/86128919.smil
CCTV电视指南,rtsp://115.153.230.145/PLTV/88888888/224/3221226969/86129034.smil
CCTV兵器科技,rtsp://115.153.230.145/PLTV/88888888/224/3221227004/86132185.smil
CCTV央视台球,rtsp://115.153.230.145/PLTV/88888888/224/3221226955/861081.smil
CCTV央视文化精品,rtsp://115.153.230.145/PLTV/88888888/224/3221226957/86128679.smil
CCTV世界地理,rtsp://115.153.230.145/PLTV/88888888/224/3221226965/86128966.smil
CCTV女性时尚,rtsp://115.153.230.145/PLTV/88888888/224/3221226998/86128978.smil
CCTV高尔夫网球,rtsp://115.153.230.145/PLTV/88888888/224/3221226967/86128985.smil
CCTV风云音乐,rtsp://115.153.230.145/PLTV/88888888/224/3221226994/86128897.smil

CCTV1,http://ycsj.aguihome.com:4022/rtp/233.50.201.118:5140
CCTV2,http://ycsj.aguihome.com:4022/rtp/233.50.201.119:5140
CCTV3,http://ycsj.aguihome.com:4022/rtp/233.50.201.196:5140
CCTV4,http://ycsj.aguihome.com:4022/rtp/233.50.200.101:5140
CCTV5,http://ycsj.aguihome.com:4022/rtp/233.50.201.197:5140
CCTV5+,http://ycsj.aguihome.com:4022/rtp/233.50.201.220:5140
CCTV6,http://ycsj.aguihome.com:4022/rtp/233.50.201.198:5140
CCTV7,http://ycsj.aguihome.com:4022/rtp/233.50.201.120:5140
CCTV8,http://ycsj.aguihome.com:4022/rtp/233.50.201.199:5140
CCTV9,http://ycsj.aguihome.com:4022/rtp/233.50.201.121:5140
CCTV10,http://ycsj.aguihome.com:4022/rtp/233.50.201.122:5140
CCTV11,http://ycsj.aguihome.com:4022/rtp/233.50.200.132:5140
CCTV12,http://ycsj.aguihome.com:4022/rtp/233.50.201.123:5140
CCTV13,http://ycsj.aguihome.com:4022/rtp/233.50.201.246:5140
CCTV14,http://ycsj.aguihome.com:4022/rtp/233.50.201.124:5140
CCTV15,http://ycsj.aguihome.com:4022/rtp/233.50.200.133:5140
CCTV16,http://ycsj.aguihome.com:4022/rtp/233.50.200.112:5140
CCTV17,http://ycsj.aguihome.com:4022/rtp/233.50.200.113:5140

CCTV1,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv1
CCTV2,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv2
CCTV3,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv3
CCTV4,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv4
CCTV5,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv5
CCTV5+,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv5p
CCTV5+,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv5p2
CCTV6,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv6
CCTV7,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv7
CCTV8,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv8
CCTV9,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv9
CCTV10,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv10
CCTV11,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv11
CCTV12,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv12
CCTV13,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv13
CCTV14,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv14
CCTV15,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv15
CCTV16,http://nctv.top/IDOEPpiryt/bestv.php?id=cctv16
